3_Ghana_20/15	3_BurkinaFaso_26	3_Senegal_11	3_BurkinaFaso_111	3_Ghana_30	3_Senegal_25	3_Uganda_311	3_Senegal_20	3_BurkinaFaso_39	3_BurkinaFaso_155	3_Kenya_397	3_Kenya_195	3_USA_54/9	3_Kenya_477/313	3_USA_160	3_Kenya_317	3_Kenya_383	3_Uganda_381	3_Kenya_189	3_Kenya_333	3_Kenya_361/352	3_Kenya_501/377	3_Kenya_598/554	3_Kenya_414	3_Gabon_61	3_Philippines_8	3_Kenya_394/265/181/96	3_Brazil_38	3_Brazil_27	3_Kenya_398/295	3_Kenya_184	3_USA_157/140	3_USA_82	3_Kenya_461	3_Kenya_368	3_Uganda_107/105	3_Senegal_275	3_SaudiArabia_19	3_BurkinaFaso_90	3_Uganda_92/91/89	3_BurkinaFaso_265/179	3_Kenya_196	3_Uganda_46	3_BurkinaFaso_95	3_Senegal_28	3_BurkinaFaso_123	3_Ghana_97
3_Kenya_397	NA	NA	0.00317695044746279	NA	NA	0.0028171025349408	NA	0.00295701632195546	NA	0.0307094072842282	NA	0.421007458459277	0.209177370657164	0.363248118953633	0.00704809050246489	0.220967550250508	0.264433060650198	0.00213991981326552	0.24573733895471	0.220746537025107	0.219170789787623	0.201059601748246	0.0809715144450611	0.0790399662452172	0.368223804958063	0.0462355159111367	0.364000652126838	0.364148768719762	0.358795406306755	0.0658263714007988	0.0601326202174075	0.00712227229169004	0.0143093625208314	0.225017743957453	0.186035168985544	NA	0.0706614919209213	0.0190934882697599	NA	0.00216818450915754	NA	0.350132139726194	NA	0.0345183362000582	0.00607995606272587	0.00611477347957913	0.00624380349631242
3_Kenya_195	NA	NA	0.00625966851159961	NA	NA	0.00563616293147356	NA	0.00579406037403087	NA	0.0330003461924184	0.421007458459277	NA	0.172440128439258	0.273614554743782	0.0068519338482337	0.175506277949354	0.20610765795594	0.00472293616827876	0.190364674038101	0.175396917559358	0.173973341123306	0.157828960774004	0.0861989913887101	0.0814464734980298	0.282279468674798	0.0391906502672991	0.276610941745772	0.277031382880719	0.273085406755734	0.0750673978530335	0.070212786088334	0.0066370052136928	0.0145649842981747	0.180332009759993	0.143388846025844	NA	0.081708770364348	0.0238004649578481	NA	0.00729579118503015	NA	0.268761159646265	NA	0.0329325029294618	0.0124820682427862	0.0121968626382841	0.0125827453206385
3_USA_54/9	NA	NA	0.0274074073074667	NA	NA	0.0250019609056869	NA	0.0252549726373872	NA	0.0860082434603916	0.209177370657164	0.172440128439258	NA	0.395496382454577	0.0515027131852448	0.198207341235122	0.215042243671335	0.019334277944844	0.16715630027779	0.15749180373186	0.154425545747913	0.130940271028215	0.19782736528272	0.178195112243576	0.143498982181622	0.0492435742521081	0.136795103642529	0.137888927215486	0.138184613422558	0.17252118674716	0.165708302623449	0.0125047133383855	0.0358170220798283	0.173602438089413	0.106664040588723	NA	0.205691584489594	0.0548363705274209	NA	0.0257474597642396	NA	0.148599420643069	NA	0.0932363489955638	0.0491385160370026	0.0462226400596468	0.0482336583449423
3_Kenya_477/313	NA	NA	0.00482169651186822	NA	NA	0.00500196948640307	NA	0.00486546415784588	NA	0.025468371430964	0.363248118953633	0.273614554743782	0.395496382454577	NA	0.0627224024480199	0.258077284509169	0.315624554394399	0.00435650453132536	0.261334742366536	0.217785002885486	0.214715896216674	0.187205105956063	0.0713241317868129	0.0699352655396002	0.277844668382902	0.0336597678003633	0.277994368093914	0.276679341479851	0.273545678399741	0.0554766105234698	0.0514098052722752	0.01033866557893	0.0183491475143379	0.187454599948208	0.147612773480834	NA	0.0502713327594765	0.0139244870974969	NA	0.00522034744256411	NA	0.278359996479064	NA	0.0364578169035379	0.00722296048962659	0.007145691627084	0.00733837809409676
3_USA_160	NA	NA	0.00312450390106929	NA	NA	0.0029817058183962	NA	0.00298831125688435	NA	0.00710020180582983	0.00704809050246489	0.0068519338482337	0.0515027131852448	0.0627224024480199	NA	0.104610565233872	0.13008782819086	0.0024752772666024	0.0357895244699343	0.021154118402626	0.0204746464131102	0.0145454136158669	0.00460697519010869	0.00398244803843797	0.00597506381867569	0.00392028245724486	0.00564003288234276	0.00570873906205233	0.00569842909722923	0.00358929824608499	0.00339580359109303	0.0147986290983631	0.0148894865046223	0.00570961221914552	0.00615649776398107	NA	0.011342786250252	0.0101280161466403	NA	0.0035065161249199	NA	0.00606516687920852	NA	0.000677279733848648	0.00565762766115244	0.00555434462009073	0.00565920520524046
3_Kenya_317	NA	NA	0.0116987101359635	NA	NA	0.0110309946159577	NA	0.0110665824418835	NA	0.0419100724540565	0.220967550250508	0.175506277949354	0.198207341235122	0.258077284509169	0.104610565233872	NA	0.320908274182803	0.00668792612712192	0.185731540391347	0.1618859034786	0.160166007365499	0.134965100916239	0.101697424215227	0.095112284090268	0.180163739759124	0.0320864049054789	0.175306442388483	0.176369159997696	0.17469154192714	0.0850397281857707	0.0804836250516611	0.00927658849587457	0.0189032049620944	0.152816105799414	0.112837564786345	NA	0.0952791422051834	0.0264357195027512	NA	0.00947752136485917	NA	0.180597112036155	NA	0.0410947939535307	0.0203162179301761	0.0193478495095879	0.0201449537008625
3_Kenya_383	NA	NA	0.00707977317055111	NA	NA	0.00677388346339942	NA	0.00673938521115032	NA	0.0331740593205334	0.264433060650198	0.20610765795594	0.215042243671335	0.315624554394399	0.13008782819086	0.320908274182803	NA	0.00358917208057044	0.223373466302885	0.189521606495996	0.187582630735066	0.159684241368719	0.0855530328952353	0.0818877414429703	0.215278925724199	0.0308057410884859	0.210380573278077	0.21100083175768	0.208547928710107	0.0689956301282594	0.0647504450776033	0.010011869619235	0.018184206435649	0.170163847144933	0.127402970704683	NA	0.0695600523356176	0.0190179462966446	NA	0.00626350545352896	NA	0.215249268013642	NA	0.0344825416489483	0.0119508499059208	0.011618970907874	0.0120618259186829
3_Uganda_381	NA	NA	0.0014655228331457	NA	NA	0.000700088421058165	NA	0.000772973601691244	NA	0.00953869479035719	0.00213991981326552	0.00472293616827876	0.019334277944844	0.00435650453132536	0.0024752772666024	0.00668792612712192	0.00358917208057044	NA	0.00532252145036877	0.00409945084166928	0.00383708989317764	0.0054971700100212	0.0200555803306592	0.0178758336239901	0.00397097615325378	0.00480390739099914	0.0043616554636881	0.00404078000245568	0.00350118608529823	0.0212658740352788	0.0203508763607809	0.00215588967918746	0.00413142108402783	0.00521357319240019	0.00528784837540621	NA	0.0289840767195475	0.0104399374824149	NA	0.00396665653618614	NA	0.00352499167216485	NA	0.00746376283492975	0.00474131468284078	0.00445200648804867	0.0041054877587508
3_Kenya_189	NA	NA	0.00710794749846219	NA	NA	0.00733652359777713	NA	0.00709382991253716	NA	0.0234790437765432	0.24573733895471	0.190364674038101	0.16715630027779	0.261334742366536	0.0357895244699343	0.185731540391347	0.223373466302885	0.00532252145036877	NA	0.237588740706583	0.236150365234697	0.170047141077492	0.0733070210484328	0.0717793410579053	0.209132780150749	0.0286288224396812	0.212824829933418	0.214225400360899	0.211600579898807	0.0529035436458507	0.0500503994619047	0.00922373477095872	0.0137530946903237	0.147019007993603	0.109110740419464	NA	0.0513423998594345	0.0165643652011754	NA	0.00736109166894233	NA	0.206076270550516	NA	0.019932300211464	0.0132880446589057	0.0134719805813464	0.0139216180486024
3_Kenya_333	NA	NA	0.00845104088059151	NA	NA	0.00797681599960227	NA	0.00803951181126509	NA	0.0307919824192715	0.220746537025107	0.175396917559358	0.15749180373186	0.217785002885486	0.021154118402626	0.1618859034786	0.189521606495996	0.00409945084166928	0.237588740706583	NA	0.401032925417338	0.19578620375707	0.11488413413645	0.107956106368246	0.203873002842737	0.0364346226633541	0.214639285569574	0.215709619354882	0.213125427927745	0.0865366176360774	0.0824014873434439	0.00922080000671491	0.0169646519256248	0.161171213502758	0.113735716867201	NA	0.090167902497147	0.0219316589762651	NA	0.0126284583301218	NA	0.189524800216345	NA	0.0267530105749476	0.0141310476825176	0.0135386228630451	0.0142012104405509
3_Kenya_361/352	NA	NA	0.00790438193131322	NA	NA	0.00740342424733636	NA	0.00748241048844188	NA	0.0301248869280867	0.219170789787623	0.173973341123306	0.154425545747913	0.214715896216674	0.0204746464131102	0.160166007365499	0.187582630735066	0.00383708989317764	0.236150365234697	0.401032925417338	NA	0.194199901917957	0.112665467832326	0.106020441196871	0.201960082863569	0.0358809861749914	0.21232925163379	0.213546531508112	0.211079613064268	0.0843325179684917	0.080220457112543	0.00899964009116571	0.0164764179333923	0.160210141256083	0.112868915999247	NA	0.0880178899952659	0.0214262427593711	NA	0.0123609222823166	NA	0.188081797802131	NA	0.0259419373868959	0.0130389315598377	0.0124506267070093	0.0130814581402558
3_Kenya_501/377	NA	NA	0.00932949663460748	NA	NA	0.00925366350024073	NA	0.00918245953116773	NA	0.0269211337808528	0.201059601748246	0.157828960774004	0.130940271028215	0.187205105956063	0.0145454136158669	0.134965100916239	0.159684241368719	0.0054971700100212	0.170047141077492	0.19578620375707	0.194199901917957	NA	0.0967912162783496	0.0927356380636337	0.200317005202903	0.0333923498154966	0.203660432915861	0.200624511492861	0.196776448643431	0.0705542090232431	0.0672999095023229	0.0116177388002529	0.0177820840257361	0.143391344770325	0.106549216236026	NA	0.0734285072993165	0.0189973129597685	NA	0.010165583630706	NA	0.168437942179142	NA	0.0266022249569244	0.0171950888362099	0.0170088043795433	0.0177477964032244
3_Kenya_598/554	NA	NA	0.0415911657372439	NA	NA	0.0377963792964903	NA	0.0384824414613862	NA	0.0971034891404266	0.0809715144450611	0.0861989913887101	0.19782736528272	0.0713241317868129	0.00460697519010869	0.101697424215227	0.0855530328952353	0.0200555803306592	0.0733070210484328	0.11488413413645	0.112665467832326	0.0967912162783496	NA	0.378558014332849	0.0816742768276869	0.0684230863570137	0.079513046585784	0.084521115448033	0.0865801312389668	0.284010523749495	0.275320732507868	0.0128120571600631	0.0410366260043869	0.160181022972677	0.0782872102505071	NA	0.318886131595629	0.0741942843403561	NA	0.0418721483000166	NA	0.0600383878614949	NA	0.10982486602387	0.0657919478617805	0.0616696776466501	0.0640679650514284
3_Kenya_414	NA	NA	0.0338186920253366	NA	NA	0.0303332225784722	NA	0.0310059806316763	NA	0.0858877960554576	0.0790399662452172	0.0814464734980298	0.178195112243576	0.0699352655396002	0.00398244803843797	0.095112284090268	0.0818877414429703	0.0178758336239901	0.0717793410579053	0.107956106368246	0.106020441196871	0.0927356380636337	0.378558014332849	NA	0.0800220773811966	0.0618170575359048	0.0786020815891231	0.082839307749712	0.0844560800714878	0.246057822857916	0.238309127595538	0.0114396107418064	0.0364686557831287	0.14660704022731	0.0715253280204173	NA	0.274712446112855	0.0643927796448836	NA	0.0342788972327181	NA	0.0592494753557728	NA	0.100173251280289	0.0554760070396693	0.0518878997544061	0.0540756016029603
3_Gabon_61	NA	NA	0.00297235651783049	NA	NA	0.00272714059260056	NA	0.00275491092657105	NA	0.0204875727530348	0.368223804958063	0.282279468674798	0.143498982181622	0.277844668382902	0.00597506381867569	0.180163739759124	0.215278925724199	0.00397097615325378	0.209132780150749	0.203873002842737	0.201960082863569	0.200317005202903	0.0816742768276869	0.0800220773811966	NA	0.088364038157174	0.789737184619459	0.748714054247218	0.725686285349482	0.0680357151502023	0.0617845935615836	0.0086378094932136	0.0154709979487357	0.21902545087482	0.164672763093811	NA	0.052751965031629	0.013423306900424	NA	0.000660038190762566	NA	0.329718140314609	NA	0.0206660660396192	0.00593904567418201	0.00621883113121293	0.00636095678887669
3_Philippines_8	NA	NA	0.0076875578606827	NA	NA	0.00673166535095796	NA	0.00692644037065865	NA	0.027575532668815	0.0462355159111367	0.0391906502672991	0.0492435742521081	0.0336597678003633	0.00392028245724486	0.0320864049054789	0.0308057410884859	0.00480390739099914	0.0286288224396812	0.0364346226633541	0.0358809861749914	0.0333923498154966	0.0684230863570137	0.0618170575359048	0.088364038157174	NA	0.0918179021064591	0.0896869103807403	0.0880640682862999	0.0619507974985665	0.0592680855316524	0.00318800032659078	0.0098841308631646	0.0502141717027997	0.0290060126415701	NA	0.074420825559862	0.0203107567389396	NA	0.00619413351411143	NA	0.0399299422353192	NA	0.0245946296221336	0.023161673701777	0.0222420108052659	0.0232939936334456
3_Kenya_394/265/181/96	NA	NA	0.00262045509132138	NA	NA	0.00272140083213987	NA	0.00266409045245714	NA	0.0138465948333117	0.364000652126838	0.276610941745772	0.136795103642529	0.277994368093914	0.00564003288234276	0.175306442388483	0.210380573278077	0.0043616554636881	0.212824829933418	0.214639285569574	0.21232925163379	0.203660432915861	0.079513046585784	0.0786020815891231	0.789737184619459	0.0918179021064591	NA	0.869278053353372	0.849623191331653	0.0627178713169957	0.0564842667862897	0.00885264462799019	0.0149091355960295	0.215601977776608	0.158313538545694	NA	0.043674432605741	0.0107269348857151	NA	0.000487555449817028	NA	0.332487426969798	NA	0.0120186820003663	0.00629585738768752	0.00693533925440129	0.00708731856334618
3_Brazil_38	NA	NA	0.0028246358693624	NA	NA	0.00293775754401034	NA	0.00290386856702216	NA	0.0153417897778029	0.364148768719762	0.277031382880719	0.137888927215486	0.276679341479851	0.00570873906205233	0.176369159997696	0.21100083175768	0.00404078000245568	0.214225400360899	0.215709619354882	0.213546531508112	0.200624511492861	0.084521115448033	0.082839307749712	0.748714054247218	0.0896869103807403	0.869278053353372	NA	0.807305374713713	0.068728387648892	0.0620786489070424	0.00904594205810108	0.0152838291308002	0.216926362977547	0.159001621419169	NA	0.0484078158177742	0.0116289908168637	NA	0.000911750294488153	NA	0.331445913102895	NA	0.0131769085526407	0.00636669548025209	0.00685882519942725	0.00702532052150525
3_Brazil_27	NA	NA	0.00302658403433478	NA	NA	0.00310768250849902	NA	0.00306833080333474	NA	0.0162084576020721	0.358795406306755	0.273085406755734	0.138184613422558	0.273545678399741	0.00569842909722923	0.17469154192714	0.208547928710107	0.00350118608529823	0.211600579898807	0.213125427927745	0.211079613064268	0.196776448643431	0.0865801312389668	0.0844560800714878	0.725686285349482	0.0880640682862999	0.849623191331653	0.807305374713713	NA	0.0714703303080467	0.064710111266969	0.00905767167144772	0.015595912697538	0.216926641782617	0.157717186499861	NA	0.0511356828164814	0.01224133549895	NA	0.0011588935260707	NA	0.32764078522218	NA	0.01385784827241	0.00642344495392905	0.00687403605603925	0.0070199751746987
3_Kenya_398/295	NA	NA	0.0343841511057364	NA	NA	0.0308109916304029	NA	0.0317138060141887	NA	0.0907294596865758	0.0658263714007988	0.0750673978530335	0.17252118674716	0.0554766105234698	0.00358929824608499	0.0850397281857707	0.0689956301282594	0.0212658740352788	0.0529035436458507	0.0865366176360774	0.0843325179684917	0.0705542090232431	0.284010523749495	0.246057822857916	0.0680357151502023	0.0619507974985665	0.0627178713169957	0.068728387648892	0.0714703303080467	NA	0.380788398930389	0.0117213752113992	0.0415050992600074	0.153693490053461	0.0705151155197948	NA	0.29937417816228	0.0690498612603784	NA	0.0350988400501328	NA	0.0525080728248476	NA	0.0954788021090147	0.0593733620181655	0.0558907418265323	0.0582038480275687
3_Kenya_184	NA	NA	0.0342278244420271	NA	NA	0.0309481909495146	NA	0.0318197117041295	NA	0.0875277107204356	0.0601326202174075	0.070212786088334	0.165708302623449	0.0514098052722752	0.00339580359109303	0.0804836250516611	0.0647504450776033	0.0203508763607809	0.0500503994619047	0.0824014873434439	0.080220457112543	0.0672999095023229	0.275320732507868	0.238309127595538	0.0617845935615836	0.0592680855316524	0.0564842667862897	0.0620786489070424	0.064710111266969	0.380788398930389	NA	0.0114530751124702	0.0398205232973779	0.144971975965977	0.0655751209798525	NA	0.288708849544323	0.0674877083376363	NA	0.035257574131005	NA	0.0478568238472786	NA	0.0919555131336296	0.058739612808955	0.0554760702520878	0.0577234361492884
3_USA_157/140	NA	NA	0.00244891650570302	NA	NA	0.00236736955667679	NA	0.00242959085864608	NA	0.00764958868559255	0.00712227229169004	0.0066370052136928	0.0125047133383855	0.01033866557893	0.0147986290983631	0.00927658849587457	0.010011869619235	0.00215588967918746	0.00922373477095872	0.00922080000671491	0.00899964009116571	0.0116177388002529	0.0128120571600631	0.0114396107418064	0.0086378094932136	0.00318800032659078	0.00885264462799019	0.00904594205810108	0.00905767167144772	0.0117213752113992	0.0114530751124702	NA	0.203602501758928	0.0274173370032025	0.0128598087667646	NA	0.0135145908510457	0.00779519961972123	NA	0.00832441306621419	NA	0.00624338910309184	NA	0.0067270988576089	0.00417058119490039	0.00389599064441269	0.00410342793552884
3_USA_82	NA	NA	0.00779334051492914	NA	NA	0.00750417816033676	NA	0.00761934324341585	NA	0.0165413829113035	0.0143093625208314	0.0145649842981747	0.0358170220798283	0.0183491475143379	0.0148894865046223	0.0189032049620944	0.018184206435649	0.00413142108402783	0.0137530946903237	0.0169646519256248	0.0164764179333923	0.0177820840257361	0.0410366260043869	0.0364686557831287	0.0154709979487357	0.0098841308631646	0.0149091355960295	0.0152838291308002	0.015595912697538	0.0415050992600074	0.0398205232973779	0.203602501758928	NA	0.0501013640430186	0.0208829082689546	NA	0.0452561312571522	0.0128275327700219	NA	0.00950197160457137	NA	0.0115883002077668	NA	0.0150114598393654	0.0096093014444052	0.00925998272329524	0.00936306763853489
3_Kenya_461	NA	NA	0.00831351562676953	NA	NA	0.00625635356316061	NA	0.00699893838267376	NA	0.0616345754528447	0.225017743957453	0.180332009759993	0.173602438089413	0.187454599948208	0.00570961221914552	0.152816105799414	0.170163847144933	0.00521357319240019	0.147019007993603	0.161171213502758	0.160210141256083	0.143391344770325	0.160181022972677	0.14660704022731	0.21902545087482	0.0502141717027997	0.215601977776608	0.216926362977547	0.216926641782617	0.153693490053461	0.144971975965977	0.0274173370032025	0.0501013640430186	NA	0.164082704552072	NA	0.170732887261886	0.0383543968823091	NA	0.0157552017485755	NA	0.17993537425161	NA	0.0580388084964645	0.0133595723469838	0.0116585930975523	0.0121289800878405
3_Kenya_368	NA	NA	0.00818447757605957	NA	NA	0.00755030509889171	NA	0.00773722024148661	NA	0.0334291760517054	0.186035168985544	0.143388846025844	0.106664040588723	0.147612773480834	0.00615649776398107	0.112837564786345	0.127402970704683	0.00528784837540621	0.109110740419464	0.113735716867201	0.112868915999247	0.106549216236026	0.0782872102505071	0.0715253280204173	0.164672763093811	0.0290060126415701	0.158313538545694	0.159001621419169	0.157717186499861	0.0705151155197948	0.0655751209798525	0.0128598087667646	0.0208829082689546	0.164082704552072	NA	NA	0.0810225636729703	0.0219329623158227	NA	0.0070434916148117	NA	0.145848920539835	NA	0.0354403050192386	0.0143237557470444	0.013608734253214	0.0142514608417807
3_Uganda_107/105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3_Senegal_275	NA	NA	0.0535303972120842	NA	NA	0.0488102135972116	NA	0.04984425785701	NA	0.135055831202289	0.0706614919209213	0.081708770364348	0.205691584489594	0.0502713327594765	0.011342786250252	0.0952791422051834	0.0695600523356176	0.0289840767195475	0.0513423998594345	0.090167902497147	0.0880178899952659	0.0734285072993165	0.318886131595629	0.274712446112855	0.052751965031629	0.074420825559862	0.043674432605741	0.0484078158177742	0.0511356828164814	0.29937417816228	0.288708849544323	0.0135145908510457	0.0452561312571522	0.170732887261886	0.0810225636729703	NA	NA	0.107976417100605	NA	0.0418191368353072	NA	0.0564412660243316	NA	0.135128529879306	0.099877760497528	0.0946341240988557	0.0977765984540131
3_SaudiArabia_19	NA	NA	0.0159598038291252	NA	NA	0.014822999285591	NA	0.0151859398664132	NA	0.0472332265043793	0.0190934882697599	0.0238004649578481	0.0548363705274209	0.0139244870974969	0.0101280161466403	0.0264357195027512	0.0190179462966446	0.0104399374824149	0.0165643652011754	0.0219316589762651	0.0214262427593711	0.0189973129597685	0.0741942843403561	0.0643927796448836	0.013423306900424	0.0203107567389396	0.0107269348857151	0.0116289908168637	0.01224133549895	0.0690498612603784	0.0674877083376363	0.00779519961972123	0.0128275327700219	0.0383543968823091	0.0219329623158227	NA	0.107976417100605	NA	NA	0.0135355041918138	NA	0.0162494002735577	NA	0.0460953261481436	0.0285751021480456	0.0269104240330063	0.0281069897283156
3_BurkinaFaso_90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3_Uganda_92/91/89	NA	NA	0.0053170680935716	NA	NA	0.00466629104265749	NA	0.00466327222805658	NA	0.0124550511874927	0.00216818450915754	0.00729579118503015	0.0257474597642396	0.00522034744256411	0.0035065161249199	0.00947752136485917	0.00626350545352896	0.00396665653618614	0.00736109166894233	0.0126284583301218	0.0123609222823166	0.010165583630706	0.0418721483000166	0.0342788972327181	0.000660038190762566	0.00619413351411143	0.000487555449817028	0.000911750294488153	0.0011588935260707	0.0350988400501328	0.035257574131005	0.00832441306621419	0.00950197160457137	0.0157552017485755	0.0070434916148117	NA	0.0418191368353072	0.0135355041918138	NA	NA	NA	0.00194850773523392	NA	0.00959296942100691	0.0130659629195805	0.0121822395001426	0.0129849309238914
3_BurkinaFaso_265/179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
